"PRO_COM","Municipality","IFC_decile","Year","GRINS_macroclass","GRINS_class","Period"
6144,"Rivalta Bormida",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6145,"Rivarone",9,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6147,"Rocca Grimalda",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6146,"Roccaforte Ligure",10,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6148,"Rocchetta Ligure",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6149,"Rosignano Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6150,"Sala Monferrato",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6151,"Sale",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6152,"San Cristoforo",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6153,"San Giorgio Monferrato",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6154,"San Salvatore Monferrato",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6155,"San Sebastiano Curone",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6156,"Sant'Agata Fossili",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6157,"Sardigliano",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6158,"Sarezzano",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6159,"Serralunga di Crea",1,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6160,"Serravalle Scrivia",3,"2018","2 ITALIA DI MEZZO","2.1.1.2 - Continuum urbano-rurale di montagna/collina interna a media densità di popolazione","Pre-COVID"
6161,"Sezzadio",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6162,"Silvano d'Orba",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6163,"Solero",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6164,"Solonghello",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6165,"Spigno Monferrato",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6166,"Spineto Scrivia",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6167,"Stazzano",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6168,"Strevi",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6169,"Tagliolo Monferrato",3,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6170,"Tassarolo",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6171,"Terruggia",1,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6172,"Terzo",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6173,"Ticineto",6,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6174,"Tortona",2,"2018","2 ITALIA DI MEZZO","2.1.2.2 - Continuum urbano-rurale litoraneo e/o di pianura a media densità di popolazione","Pre-COVID"
